"Data Source","World Development Indicators",

"Last Updated Date","2020-12-16",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Austria","AUT","GDP per capita (current US$)","NY.GDP.PCAP.CD","935.460426850415","1031.8150043291","1087.8342434189","1167.00053244585","1269.41258289256","1374.53213986075","1486.96860600566","1569.66718289967","1677.67352804272","1825.38612552124","2058.76905087549","2380.97845801742","2924.04887899105","3890.72241941969","4630.75719737956","5285.62072414121","5678.38665810018","6810.62768469634","8205.4689771504","9793.76534815017","10869.5464940526","9385.24906398343","9410.34725652989","9537.40742043378","8991.06503963026","9172.09676001833","13083.0726621044","16392.7695234749","17578.6189397397","17468.9461372569","21680.989623313","22410.9117666654","24880.1641180361","24081.5277928004","25646.7006591684","30325.8495818396","29809.0767730821","26705.4785993891","27361.8751106437","27174.2971559775","24564.4582948404","24537.5142629883","26401.7454564357","32222.8972411655","36821.5214680093","38403.1338770715","40635.2818159724","46855.7717452095","51708.7657541758","47963.1794023217","46858.0432733717","51374.9584066934","48567.69528642","50716.7087062864","51717.4959405515","44178.0473777432","45276.8314351693","47426.5119597773","51478.2852619277","50137.6627762476","",
"Azerbaijan","AZE","GDP per capita (current US$)","NY.GDP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1237.324491677","1209.23749284959","676.15151145252","529.813661843287","436.216868966934","397.198116117247","409.210755159618","505.563774721979","561.907035403795","573.893296585846","655.097432602586","703.683843432722","763.080637985358","883.64399654717","1045.00937916805","1578.40239029603","2473.08181863536","3851.43786871172","5574.60380218613","4950.29479142375","5842.80578358576","7189.69122920765","7496.29464768263","7875.75695254288","7891.31314749986","5500.31038244408","3880.73873089556","4147.08971569171","4739.84171028393","4793.58701966989","",
"Burundi","BDI","GDP per capita (current US$)","NY.GDP.PCAP.CD","70.0517346382971","71.1671882088235","73.4353055613742","78.5143294134077","86.1616064554289","51.3818646529604","52.1826504510569","54.8063925802522","54.9008114351917","55.7150155029885","69.7693039666795","71.6267707066849","69.1394016775159","84.4186415543161","94.6853216373742","113.753125382792","118.914901523597","142.053020747619","154.51619504879","193.150202300501","221.231835357164","227.128120029126","231.343852311749","240.782292084297","213.616517780925","242.058249056633","245.915428142175","225.071699645207","209.415063423685","209.894412605431","208.146755438253","209.777897917403","190.489013951092","161.887552946887","156.812301230653","167.098915756122","143.402300109205","158.914669880487","144.493064021934","128.939083280584","136.46397080034","134.363447507999","123.117627963477","113.567366369381","128.336612834582","151.681463366485","167.376484505492","172.495859926837","198.352900555063","212.136880390025","234.235646874999","249.577979366801","252.358979858344","256.976002796754","274.857947913846","305.549772797441","282.193130404814","292.997630684415","271.752044376648","261.247472515742","",
"Belgium","BEL","GDP per capita (current US$)","NY.GDP.PCAP.CD","1273.69165910289","1350.19767333123","1438.5232330684","1535.02372901043","1701.84627554319","1835.59476553194","1957.62608042762","2086.63600544654","2222.36151051913","2458.08182003773","2765.89099664794","3082.92798879126","3831.63189999433","4900.96220075866","5733.79813933878","6701.37736052433","7243.04734119583","8426.94695947372","10289.7684173296","11810.6158754725","12864.0025661396","10622.8024830789","9343.86109959618","8846.23429846974","8457.26880316374","8750.81851250536","12170.0406962702","15135.8523116968","16391.093827791","16525.0617432848","20600.3752789827","21041.6606519648","23372.619171015","22283.9360213551","24208.5547931447","28413.8264387368","27489.5551770488","24820.9380503896","25338.4432934904","25244.2750474813","23041.5347290428","22995.1575247288","24887.5613341833","30587.6684093796","35364.3753314368","36795.9768819639","38672.7059429767","44262.8960009954","48106.892915788","44583.5448070814","44141.8781415734","47348.5250202016","44673.1158755901","46744.6625441516","47700.5403601178","40991.8081381432","41984.1030335609","44192.6230270333","47583.0749405066","46420.6637668061","",
"Benin","BEN","GDP per capita (current US$)","NY.GDP.PCAP.CD","93.0225089907107","95.5721547147448","94.4645349843821","99.8591138855553","104.339768039886","110.132793835113","112.940836383512","111.951601925238","116.89506602186","116.025094341185","114.556596466987","112.570089087637","134.819407935009","161.987373671434","174.014149085561","207.300439745473","208.656153830514","218.4543657692","263.581057550946","327.821677993792","378.043898303902","337.978194739187","322.77769945337","271.129240225224","252.869785044788","244.410998858469","303.348897858296","344.503070791789","346.736037681422","311.678303860822","393.686214423531","385.753616012638","317.962855286116","411.926030522283","279.666504326806","367.387341032599","387.432924636251","361.100269794441","379.442353954477","551.619386872717","511.40022696311","517.614229562716","572.22879536799","709.690533155786","797.312680014661","822.457830930625","855.294039238491","964.926944015568","1120.88827324575","1084.39390022006","1036.53395164469","1130.27313181143","1145.14081099947","1251.21051783537","1291.40980818577","1076.79771601166","1087.28783152256","1136.59284704681","1240.82946441954","1219.43267185875","",
"Burkina Faso","BFA","GDP per capita (current US$)","NY.GDP.PCAP.CD","68.424748569325","71.558180092437","76.5206113987061","78.372071942432","80.4727667455189","81.7251154955019","82.5456368946943","84.3631649403545","84.7330493468762","86.5202111123235","81.4998986817011","84.2878150139644","99.3267640249866","113.780584338816","124.359030451525","152.728220114244","155.648997960296","176.783367666295","225.941652537233","262.076009642159","282.685735299595","254.230780675111","245.09470243903","217.994750842831","193.843240284709","200.8944225118","256.762318808596","291.131963880905","313.061891095721","304.853438781463","351.979322852536","346.410672442444","240.963480980403","244.127073499416","193.070236298833","235.832197299769","249.360294415648","229.493117735387","255.7182333817","298.228173964098","254.71752910271","267.097644351809","294.665316636646","374.627446782463","418.376885033166","457.933601354882","473.449765459592","535.062579794781","643.404581023036","624.175164544582","647.835846453449","751.172957247699","758.000701423857","787.47017629755","792.846778432074","653.32697954543","688.249662758849","734.994429826895","813.096848960038","786.895631290168","",
"Bangladesh","BGD","GDP per capita (current US$)","NY.GDP.PCAP.CD","89.0352412832723","97.5952739108149","100.12211579079","101.901414464052","100.221113507985","106.64664823646","112.665358839312","122.870630560939","122.847593497904","135.147381311241","140.002714037943","133.551423017287","94.3816784627895","119.559743375323","182.019989366781","277.570640891354","141.197168777034","131.373243400085","176.03394976502","200.769664090984","227.751946526218","247.649619808649","220.718810111852","204.417678191801","213.996657932288","245.453904178514","233.658047126004","253.974463110316","270.69960091549","285.829214029315","306.268703808998","293.160415517259","293.644998454252","300.555753175017","299.533039744954","329.424084643072","394.717475124248","401.498690814146","407.429186160797","409.543196853608","418.068968311378","415.034426620147","413.080254575162","446.310659190362","475.291919786935","499.461940239156","509.640142873216","558.051860266708","634.987056467494","702.264410019296","781.153593557047","861.758444349051","883.105000541313","981.839879150399","1118.8536634927","1248.45339778371","1401.62062821515","1563.91369862485","1698.35039428122","1855.73982408046","",
"Bulgaria","BGR","GDP per capita (current US$)","NY.GDP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","2238.80295786574","2234.81481573125","2169.00401089683","1852.81343442802","1963.57267618274","1914.55064658793","2260.4272811545","3132.30136036246","2511.39306259489","2477.0208179596","2366.52982128614","1267.73437541485","1211.98087810931","1278.24717346108","1148.4943993817","2258.28601787597","1470.10370331004","1361.3923860059","1820.40509424896","1659.71834595525","1621.24296080247","1770.91353394746","2092.95769387611","2719.49765607059","3389.70704883102","3899.90763774017","4523.0508329806","5885.10434781837","7265.73549682997","6988.23332468094","6812.40633845402","7809.42506245471","7395.84980340721","7655.12970759319","7876.86646539994","7055.93567291245","7548.85500737534","8334.08172775332","9427.73043039881","9828.14851478139","",
"Bahrain","BHR","GDP per capita (current US$)","NY.GDP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","8537.92937933215","9269.26961652991","9446.15800194601","9421.2856547764","9590.73020168943","8706.76660148502","7041.60195861695","7555.10046448055","7958.74792458539","8030.90465921389","8528.98333446095","9055.67993615686","9082.75853260694","9698.18906295446","10130.5052329617","10376.9717049211","10544.7035702291","10672.166005162","10076.2206220379","10401.5458114095","13636.3962320368","12868.269156127","13049.8032204458","14222.0367965749","15846.5441389804","17959.2554402285","19307.609663318","20976.5435328438","23066.5337586893","19355.9046720264","20722.1372891347","22514.2379458146","23654.3513912828","24744.296958551","24989.4001204704","22634.118645445","22608.484275925","23742.9850166355","23991.05667694","23503.977126673","",
"Bahamas, The","BHS","GDP per capita (current US$)","NY.GDP.PCAP.CD","1550.23939204838","1651.28898476982","1752.85448101663","1867.02501228387","1994.38083200582","2144.7544025214","2322.68994821768","2556.65101842073","2804.33387615547","3215.09517923126","3178.84455205025","3297.50588018794","3322.16387617645","3696.07254416942","3416.1624891962","3156.23411824496","3328.51240740453","3617.43471621149","4131.46844816804","5533.43997592046","6340.72681168711","6624.838616795","7168.09577444319","7698.45924188303","8877.31979836728","9893.08417669176","10344.4524866432","11156.2820886994","11387.709081798","12163.6813608069","12356.4238963715","11919.7878992215","11686.6958113589","11406.6898096057","11814.5631983063","12238.3862033521","12708.730958032","22036.4841069328","23514.4203140432","26130.1018152634","27097.6108115725","27486.2367737544","28866.8010141065","28327.2708691945","28395.9246646221","30278.3669222647","30713.7052801382","31472.09897181","30627.2386311725","28552.1904783698","28443.4076553352","28006.3797183913","29485.6209294138","28783.5541223636","29980.0611386466","31295.0620781067","31562.6397411168","32718.6381008013","33767.5033710196","34863.7420984795","",
