,name,marketshare,jurisdiction_alpha2,measurement_scope,market,date
58,RBC Group,0.001,RU,top_1k,data_center,2021-01-01 00:06:00
60,Choopa,0.001,US,top_1k,data_center,2021-01-01 00:06:00
61,GMO Internet Group,0.001,JP,top_1k,data_center,2021-01-01 00:06:00
63,Radore,0.001,TR,top_1k,data_center,2021-01-01 00:06:00
64,Selectel,0.001,RU,top_1k,data_center,2021-01-01 00:06:00
65,Weebly,0.001,US,top_1k,data_center,2021-01-01 00:06:00
66,Hivelocity,0.001,US,top_1k,data_center,2021-01-01 00:06:00
67,Scaleway,0.001,FR,top_1k,data_center,2021-01-01 00:06:00
68,Rostelecom Group,0.001,RU,top_1k,data_center,2021-01-01 00:06:00
70,Aruba Group,0.001,IT,top_1k,data_center,2021-01-01 00:06:00
72,KT Group,0.001,HK,top_1k,data_center,2021-01-01 00:06:00
74,Viettel,0.001,VN,top_1k,data_center,2021-01-01 00:06:00
75,Cogeco Group,0.001,CA,top_1k,data_center,2021-01-01 00:06:00
77,QuadraNet,0.001,US,top_1k,data_center,2021-01-01 00:06:00
78,Masterhost,0.001,RU,top_1k,data_center,2021-01-01 00:06:00
79,Ntirety,0.001,US,top_1k,data_center,2021-01-01 00:06:00
80,TierPoint,0.001,US,top_1k,data_center,2021-01-01 00:06:00
81,Exabytes Group,0.001,MY,top_1k,data_center,2021-01-01 00:06:00
83,Pair Networks,0.001,US,top_1k,data_center,2021-01-01 00:06:00
84,PS Internet Company,0.001,KZ,top_1k,data_center,2021-01-01 00:06:00
85,Advanced Hosting,0.001,NL,top_1k,data_center,2021-01-01 00:06:00
86,Hostiserver,0.001,CY,top_1k,data_center,2021-01-01 00:06:00
87,Hostiran,0.001,IR,top_1k,data_center,2021-01-01 00:06:00
88,Comcast,0.001,,top_1k,data_center,2021-01-01 00:06:00
89,Psychz,0.001,US,top_1k,data_center,2021-01-01 00:06:00
90,Internet Initiative Japan,0.001,,top_1k,data_center,2021-01-01 00:06:00
91,HKBN,0.001,,top_1k,data_center,2021-01-01 00:06:00
92,Zoho,0.001,,top_1k,data_center,2021-01-01 00:06:00
0,Amazon,0.268,US,top_1k,dns_servers,2021-01-01 00:06:00
1,Cloudflare,0.145,US,top_1k,dns_servers,2021-01-01 00:06:00
2,Akamai,0.09699999999999999,US,top_1k,dns_servers,2021-01-01 00:06:00
3,NS1,0.073,US,top_1k,dns_servers,2021-01-01 00:06:00
4,Google,0.066,US,top_1k,dns_servers,2021-01-01 00:06:00
5,Neustar UltraDNS,0.048,US,top_1k,dns_servers,2021-01-01 00:06:00
6,Oracle Dyn,0.039,US,top_1k,dns_servers,2021-01-01 00:06:00
7,Alibaba Group,0.037000000000000005,CN,top_1k,dns_servers,2021-01-01 00:06:00
10,Tencent,0.034,CN,top_1k,dns_servers,2021-01-01 00:06:00
11,DNS Made Easy,0.013000000000000001,US,top_1k,dns_servers,2021-01-01 00:06:00
12,RBC Group,0.009000000000000001,RU,top_1k,dns_servers,2021-01-01 00:06:00
15,Microsoft,0.008,US,top_1k,dns_servers,2021-01-01 00:06:00
16,ClouDNS,0.008,BG,top_1k,dns_servers,2021-01-01 00:06:00
17,Verizon Group,0.008,US,top_1k,dns_servers,2021-01-01 00:06:00
20,GoDaddy Group,0.006999999999999999,US,top_1k,dns_servers,2021-01-01 00:06:00
22,CSC,0.006999999999999999,US,top_1k,dns_servers,2021-01-01 00:06:00
23,Automattic,0.006,US,top_1k,dns_servers,2021-01-01 00:06:00
